data,forn,area,eta,m,f,d1,d2,dpi,db1,db2,db3,N1,N2,ISTAT,reg
2021-01-02,Pfizer/BioNTech,ABR,80-89,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF1,13.0,Abruzzo
2021-01-02,Pfizer/BioNTech,BAS,20-29,18.0,37.0,55.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF5,17.0,Basilicata
2021-01-02,Pfizer/BioNTech,BAS,30-39,51.0,102.0,153.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF5,17.0,Basilicata
2021-01-02,Pfizer/BioNTech,BAS,40-49,102.0,168.0,268.0,0.0,2.0,0.0,0.0,0.0,ITF,ITF5,17.0,Basilicata
2021-01-02,Pfizer/BioNTech,BAS,50-59,104.0,192.0,296.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF5,17.0,Basilicata
2021-01-02,Pfizer/BioNTech,BAS,60-69,110.0,77.0,187.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF5,17.0,Basilicata
2021-01-02,Pfizer/BioNTech,BAS,70-79,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF5,17.0,Basilicata
2021-01-02,Pfizer/BioNTech,CAL,20-29,3.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF6,18.0,Calabria
2021-01-02,Pfizer/BioNTech,CAL,30-39,9.0,10.0,19.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF6,18.0,Calabria
2021-01-02,Pfizer/BioNTech,CAL,40-49,12.0,23.0,35.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF6,18.0,Calabria
2021-01-02,Pfizer/BioNTech,CAL,50-59,24.0,30.0,54.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF6,18.0,Calabria
2021-01-02,Pfizer/BioNTech,CAL,60-69,48.0,4.0,52.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF6,18.0,Calabria
2021-01-02,Pfizer/BioNTech,CAM,12-19,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF3,15.0,Campania
2021-01-02,Pfizer/BioNTech,CAM,20-29,116.0,161.0,277.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF3,15.0,Campania
2021-01-02,Pfizer/BioNTech,CAM,30-39,323.0,311.0,634.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF3,15.0,Campania
2021-01-02,Pfizer/BioNTech,CAM,40-49,359.0,430.0,786.0,0.0,3.0,0.0,0.0,0.0,ITF,ITF3,15.0,Campania
2021-01-02,Pfizer/BioNTech,CAM,50-59,540.0,483.0,1023.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF3,15.0,Campania
2021-01-02,Pfizer/BioNTech,CAM,60-69,594.0,316.0,906.0,0.0,4.0,0.0,0.0,0.0,ITF,ITF3,15.0,Campania
2021-01-02,Pfizer/BioNTech,CAM,70-79,28.0,8.0,36.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF3,15.0,Campania
2021-01-02,Pfizer/BioNTech,CAM,80-89,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF3,15.0,Campania
2021-01-02,Pfizer/BioNTech,CAM,90+,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF3,15.0,Campania
2021-01-02,Pfizer/BioNTech,EMR,12-19,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH5,8.0,Emilia-Romagna
2021-01-02,Pfizer/BioNTech,EMR,20-29,98.0,151.0,249.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH5,8.0,Emilia-Romagna
2021-01-02,Pfizer/BioNTech,EMR,30-39,231.0,271.0,502.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH5,8.0,Emilia-Romagna
2021-01-02,Pfizer/BioNTech,EMR,40-49,174.0,339.0,513.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH5,8.0,Emilia-Romagna
2021-01-02,Pfizer/BioNTech,EMR,50-59,182.0,397.0,578.0,0.0,1.0,0.0,0.0,0.0,ITH,ITH5,8.0,Emilia-Romagna
2021-01-02,Pfizer/BioNTech,EMR,60-69,186.0,151.0,337.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH5,8.0,Emilia-Romagna
2021-01-02,Pfizer/BioNTech,EMR,70-79,16.0,25.0,41.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH5,8.0,Emilia-Romagna
2021-01-02,Pfizer/BioNTech,EMR,80-89,20.0,67.0,87.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH5,8.0,Emilia-Romagna
2021-01-02,Pfizer/BioNTech,EMR,90+,9.0,63.0,72.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH5,8.0,Emilia-Romagna
2021-01-02,Pfizer/BioNTech,FVG,20-29,51.0,79.0,130.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH4,6.0,Friuli-Venezia Giulia
2021-01-02,Pfizer/BioNTech,FVG,30-39,106.0,149.0,254.0,0.0,1.0,0.0,0.0,0.0,ITH,ITH4,6.0,Friuli-Venezia Giulia
2021-01-02,Pfizer/BioNTech,FVG,40-49,90.0,186.0,276.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH4,6.0,Friuli-Venezia Giulia
2021-01-02,Pfizer/BioNTech,FVG,50-59,73.0,253.0,325.0,0.0,1.0,0.0,0.0,0.0,ITH,ITH4,6.0,Friuli-Venezia Giulia
2021-01-02,Pfizer/BioNTech,FVG,60-69,125.0,85.0,210.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH4,6.0,Friuli-Venezia Giulia
2021-01-02,Pfizer/BioNTech,FVG,70-79,31.0,3.0,34.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH4,6.0,Friuli-Venezia Giulia
2021-01-02,Pfizer/BioNTech,FVG,80-89,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH4,6.0,Friuli-Venezia Giulia
2021-01-02,Pfizer/BioNTech,LAZ,12-19,5.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2021-01-02,Pfizer/BioNTech,LAZ,20-29,203.0,401.0,603.0,0.0,1.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2021-01-02,Pfizer/BioNTech,LAZ,30-39,433.0,719.0,1152.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2021-01-02,Pfizer/BioNTech,LAZ,40-49,488.0,1001.0,1489.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2021-01-02,Pfizer/BioNTech,LAZ,50-59,679.0,1231.0,1907.0,0.0,3.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2021-01-02,Pfizer/BioNTech,LAZ,60-69,747.0,600.0,1346.0,0.0,1.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2021-01-02,Pfizer/BioNTech,LAZ,70-79,98.0,50.0,148.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2021-01-02,Pfizer/BioNTech,LAZ,80-89,32.0,85.0,117.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2021-01-02,Pfizer/BioNTech,LAZ,90+,6.0,70.0,76.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2021-01-02,Pfizer/BioNTech,LIG,20-29,15.0,40.0,55.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC3,7.0,Liguria
